W 200
0000000028000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000487C769F 0 FF
00002E7900040250 1 FF
W 100
0000000028000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000497C769F 0 FF
00001F7900041050 1 FF
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000497C769F 0 FF
00003D7300041050 0 FF
F17707ECBDF1CBBD 0 FF
03928B3F781CE6A6 0 FF
9E23CC28C4EA4737 0 FF
4ADFFB3735DF0020 0 FF
E4F7B0F034AD8AF6 0 FF
000000000000004C 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000727C769F 0 FF
00004B3F00041050 0 FF
AD009A4D10252A5C 0 FF
0EB47B507BD14F56 0 FF
945DC904D8BF05F9 0 FF
F1EDC132F42E0B02 0 FF
DCCCBF1BC6865A58 0 FF
0000000000000009 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
000000009B7C769F 0 FF
000082A100041050 0 FF
8BEC57EB9C5717F2 0 FF
29FFB026142D514F 0 FF
74D3983C6788FC0C 0 FF
BB21D67E08EA0E6B 0 FF
4BD8266F1BC9A1F3 0 FF
0000000000000074 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000C47C769F 0 FF
00000A8800041050 0 FF
4A7ABA7C74F9DAFF 0 FF
567FA0F5FD602567 0 FF
B1C6C95CDEC84516 0 FF
B0C57C47B45DC2A9 0 FF
AB408C0294A6F24B 0 FF
0000000000000076 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000ED7C769F 0 FF
0000D8E500041050 0 FF
59D4BCA459CCA5D1 0 FF
2A8784F4F9B0DED7 0 FF
C72BBAB8B17AEFD6 0 FF
07B8A3C69F6BAA94 0 FF
780AA1AF38A67028 0 FF
0000000000000039 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000167D769F 0 FF
0000C5EC00041050 0 FF
617709312E51220D 0 FF
68476700E73C979C 0 FF
568B189D095FD41D 0 FF
245EA4D06BD1F594 0 FF
00E4599BF7F59098 0 FF
000000000000001B 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
000000003F7D769F 0 FF
0000AB6C00041050 0 FF
396E60E4A1249D90 0 FF
FB4298E9F661F84A 0 FF
1F7A497DFB516A7F 0 FF
468803D3C84B719F 0 FF
9B4BFD27443EC8EF 0 FF
0000000000000079 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000687D769F 0 FF
0000EAC600041050 0 FF
56884CC21EBE9AA5 0 FF
400997BE5C76874B 0 FF
936DC7038BE3EA74 0 FF
32DA6462E97BA1B5 0 FF
C7496EB1D610D44B 0 FF
00000000000000E9 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000917D769F 0 FF
0000B52F00041050 0 FF
CF9527547F8C7A24 0 FF
FAB806A9CAD13A11 0 FF
B6F3A538D70CB3FF 0 FF
9F29699C26EB4A22 0 FF
E0BE930E12611B0B 0 FF
0000000000000022 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000BA7D769F 0 FF
0000AA8000041050 0 FF
B20E5FF07D99506E 0 FF
8D439E8EE981A126 0 FF
2DBC5F3C2284C041 0 FF
3D981F17AA15A7B6 0 FF
260DB907CB527AE0 0 FF
00000000000000F3 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000E37D769F 0 FF
000002FE00041150 0 FF
9F23D2AAF91D39AE 0 FF
D42262599D553C5A 0 FF
BD929784DA6ECDA5 0 FF
C27BE30A33081865 0 FF
2719776D9EE37800 0 FF
0000000000000028 1 01
